iter	RMSE
0	0.9018876645
1	0.8543421653
2	0.8165912434
3	0.7883786855
4	0.7495062957
5	0.7170275981
6	0.6909382716
7	0.6661168045
8	0.637230983
9	0.6144452821
10	0.5947851886
11	0.5750529204
12	0.5551462734
13	0.5365637996
14	0.5205155915
15	0.5010359547
16	0.4883308116
17	0.4740883134
18	0.4603777401
19	0.447107683
20	0.4347838061
21	0.4208945276
22	0.4092331685
23	0.3987158395
24	0.3877750691
25	0.3780064635
26	0.368522773
27	0.3576195799
28	0.3492944242
29	0.3409184441
30	0.3333070941
31	0.3249377493
32	0.3188517272
33	0.3124840254
34	0.3050602123
35	0.2986977182
36	0.2937132525
37	0.2879502883
38	0.2813630333
39	0.2749334793
40	0.2680828478
41	0.2631849775
42	0.257329853
43	0.2527982961
44	0.247819957
45	0.2429027226
46	0.2374801624
47	0.2326264268
48	0.2298009168
49	0.2261776789
50	0.2225872043
51	0.2187542202
52	0.2164901848
53	0.2155227041
54	0.2116272379
55	0.206458735
56	0.2034217266
57	0.2017109078
58	0.2002081919
59	0.1960095683
60	0.1935794506
61	0.1896352983
62	0.1859491966
63	0.1837229159
64	0.1825351542
65	0.1814600089
66	0.1781435187
67	0.1771917979
68	0.173076967
69	0.1717377899
70	0.1711275962
71	0.1693072421
72	0.1677457823
73	0.166576134
74	0.165841382
75	0.1648107022
76	0.1638793493
77	0.1597639354
78	0.1571859048
79	0.1526770942
80	0.151907876
81	0.1495644419
82	0.1484103139
83	0.1453499995
84	0.1428431511
85	0.139684214
86	0.1389210999
87	0.1383069504
88	0.1361690018
89	0.1341527464
90	0.1333169438
91	0.1307059271
92	0.129925237
93	0.1290183535
94	0.1262295537
95	0.1227726571
96	0.1222913042
97	0.1193189398
98	0.1168508996
99	0.114966643
