iter	Passed	Remaining
0	4	401
1	7	351
2	10	338
3	13	322
4	16	311
5	19	307
6	22	302
7	25	296
8	28	289
9	31	285
10	34	280
11	37	278
12	41	275
13	43	270
14	47	266
15	49	261
16	52	258
17	55	253
18	58	251
19	61	246
20	64	242
21	67	240
22	70	237
23	74	235
24	77	231
25	80	228
26	83	225
27	86	221
28	89	217
29	92	215
30	95	211
31	97	208
32	101	205
33	104	202
34	107	199
35	110	196
36	113	193
37	116	190
38	119	187
39	123	184
40	126	181
41	129	178
42	132	175
43	135	172
44	138	169
45	141	166
46	144	163
47	147	159
48	151	157
49	154	154
50	157	151
51	160	147
52	163	144
53	163	139
54	166	136
55	169	133
56	172	130
57	175	127
58	178	123
59	181	120
60	184	117
61	187	114
62	190	112
63	194	109
64	197	106
65	200	103
66	204	100
67	207	97
68	210	94
69	213	91
70	216	88
71	217	84
72	220	81
73	223	78
74	226	75
75	229	72
76	232	69
77	235	66
78	238	63
79	241	60
80	243	57
81	246	54
82	249	51
83	252	48
84	255	45
85	257	41
86	260	38
87	263	35
88	265	32
89	268	29
90	271	26
91	274	23
92	276	20
93	279	17
94	281	14
95	285	11
96	287	8
97	290	5
98	293	2
99	296	0
